MINISTRY,DEPARTMENT,CONFIRMED
Ministry of Skill Development and Entrepreneurship,National Skill Development Fund (NSDF),1
Ministry of Skill Development and Entrepreneurship,Indian Institute of Entrepreneurship,1
Ministry of Skill Development and Entrepreneurship,National Inst. of Entr. and Small Buss. D'ment (NIESBUD),1
Ministry of Skill Development and Entrepreneurship,Sector Skill Councils (SSC),1
Ministry of Social Justice and Empowerment,Department of Social Justice and Empowerment,1
Ministry of Social Justice and Empowerment,Chief Commissioner for Disabilities,1
Ministry of Statistics and Programme Implementation,Department of Statistics,1
Ministry of Steel,Ministry of Steel,1
Ministry of Textiles,Development Commissioner for Handicrafts,1
Ministry of Textiles,Development Commissioner for Handlooms,1
Ministry of Textiles,Office of Jute Commissioner,1
Ministry of Textiles,Office of Textile Commissioner,1
Ministry of Tourism,Ministry/Department of Tourism,1
Ministry of Tribal Affairs,Ministry of Tribal Affairs,1
Ministry of Housing and Urban Affairs,Directorate of Estates,1
Ministry of Housing and Urban Affairs,Directorate of Printing,1
Ministry of Housing and Urban Affairs,Department of Publication,1
Ministry of Women and Child Development,Ministry of Women and Child Development,1
Ministry of Youth Affairs and Sports,Ministry/Department of Youth Affairs and Sports,1
